Topic,Count,Name,Representation,Representative_Docs
40,28,40_shithole_contry_shitbrained_from,"['shithole', 'contry', 'shitbrained', 'from', 'come', 'cares', 'brain', 'stay', 'people', 'country']","['Fuck Brazil shithole ass place with shithole ass people.', 'An example of people who need to go back where they came from. Sorry for the innocent people on that flight', 'An example of people who need to go back where they came from. Sorry for the innocent people on that flight']"
41,28,41_indians_india_hindus_majorgauravarya,"['indians', 'india', 'hindus', 'majorgauravarya', 'alisohrab007', 'time', 'jihadi', 'spineless', 'how', 'talking']","['@AliSohrab007 @arunjaitley A jihadi scum in whatever profession will remain a jihadi and We Indians must thank Stinking Muzzie lowlifes like @AliSohrab007 keep Proving us Hindus Right by time & again reiterating that they are Rotten pieces of Meat shaped like Homosapiens', ""The Gay Indian Sodomite Varadkar has zero loyalty to the Irish people and should be deported back to India..... How the Fuck is there no push back from the opposition?? Its time to stop the talking and start taking action because the pathetic spineless traitor Government are laughing at us and how easy it is to destroy Ireland... The people need to start speaking up and waking up fast because where running out of time... I'll be at every protest that's on..... 🇮🇪 🇮🇪"", ""The Gay Indian Sodomite Varadkar has zero loyalty to the Irish people and should be deported back to India..... How the Fuck is there no push back from the opposition?? Its time to stop the talking and start taking action because the pathetic spineless traitor Government are laughing at us and how easy it is to destroy Ireland... The people need to start speaking up and waking up fast because where running out of time... I'll be at every protest that's on..... 🇮🇪 🇮🇪""]"
42,27,42_israel_would_clock_ground,"['israel', 'would', 'clock', 'ground', 'commits', 'include', 'bomb', 'like', 'bombing', 'just']","['Wish the rest of the world would just bomb any country that commits genocide. That would include Israel, Saudi Arabia and the US', 'Wish the rest of the world would just bomb any country that commits genocide. That would include Israel, Saudi Arabia and the US', 'Wish the rest of the world would just bomb any country that commits genocide. That would include Israel, Saudi Arabia and the US']"
43,27,43_somali_somalis_issue_bye,"['somali', 'somalis', 'issue', 'bye', 'somalia', 'london', 'citizenship', 'broadcast', 'somalians', 'issues']","['This is NOT a police issue. This is a dysfunctional black issue. Somalis are a retarded culture and they broadcast their issues everyday. WHY DO YOU THINK NO MUSLIM  COUNTRY WANTS THESE PEOPLE?', 'This is NOT a police issue. This is a dysfunctional black issue. Somalis are a retarded culture and they broadcast their issues everyday. WHY DO YOU THINK NO MUSLIM  COUNTRY WANTS THESE PEOPLE?', 'This is NOT a police issue. This is a dysfunctional black issue. Somalis are a retarded culture and they broadcast their issues everyday. WHY DO YOU THINK NO MUSLIM  COUNTRY WANTS THESE PEOPLE?']"
44,27,44_northkorea_geez_barackobama_surely,"['northkorea', 'geez', 'barackobama', 'surely', 'acts', 'monkey', 'may', 'think', 'one', 'url']","['GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""', 'GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""', 'GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""']"
45,27,45_nuke_knowitalls_gtfo_switzerland,"['nuke', 'knowitalls', 'gtfo', 'switzerland', 'drop', 'arabia', 'just', 'cruise', 'amerika', 'saudi']","['Nuke the americans', 'Nuke the americans', 'Nuke the americans']"
46,26,46_chinese_screw_rtaiwan_hk,"['chinese', 'screw', 'rtaiwan', 'hk', 'triads', 'tourists', 'good', 'china', 'fuck', 'hard']","['Screw the Chinese', ""rTaiwan: Screw those Chinky rat tourists! also rTaiwan: brb praying to my Chinese Deities in a Chinese language while I burn paper money a Chinese custom. 5mins later rTaiwan: screw those Chinarmen I wanna punch them they so loud! Id rather starve we don't needs their rambos! SEA sex tourists better! repeats over and over"", ""rTaiwan: Screw those Chinky rat tourists! also rTaiwan: brb praying to my Chinese Deities in a Chinese language while I burn paper money a Chinese custom. 5mins later rTaiwan: screw those Chinarmen I wanna punch them they so loud! Id rather starve we don't needs their rambos! SEA sex tourists better! repeats over and over""]"
47,26,47_realdonaldtrump_tacticalreview_bitchy_sadiqkhan,"['realdonaldtrump', 'tacticalreview', 'bitchy', 'sadiqkhan', 'girly', 'portugal', 'davidfsmiranda', 'dbdturdukkenx', 'teet', 'tonypauls112']","[""@davidfsmiranda @DBD_Turdukken_X @TonyPauls112 @Tactical_review So? Portugal is a pussy country full of beta douchebags like you. Little bitchy girly boys still suckling mommy's teet."", ""@davidfsmiranda @DBD_Turdukken_X @TonyPauls112 @Tactical_review So? Portugal is a pussy country full of beta douchebags like you. Little bitchy girly boys still suckling mommy's teet."", ""@davidfsmiranda @DBD_Turdukken_X @TonyPauls112 @Tactical_review So? Portugal is a pussy country full of beta douchebags like you. Little bitchy girly boys still suckling mommy's teet.""]"
48,25,48_white_police_beta_gonna,"['white', 'police', 'beta', 'gonna', 'ahead', 'cops', 'guns', 'gop', 'uk', 'whites']","['Lol those stupid cops are from the UK such a pussy country, they have no guns.. go ahead and beta their ass what are they gonna do?', 'Lol those stupid cops are from the UK such a pussy country, they have no guns.. go ahead and beta their ass what are they gonna do?', 'Lol those stupid cops are from the UK such a pussy country, they have no guns.. go ahead and beta their ass what are they gonna do?']"
49,25,49_mexicans_que_ricans_puerto,"['mexicans', 'que', 'ricans', 'puerto', 'european', 'disabled', 'damn', 'from', 'grandmothers', 'gentevende']","[""For all you so called Puerto Ricans calling yourselves Puerto Ricans slap yourself with your grandmother's CHANCLA!! Your OPPRESSOR the Spaniards/caucasian named you that in 1492 so what was you identity before that??? Damn pendejos y pendejas do your research and stop mamandole el bicho a Estos blanco's que no quieren nada que hacer con nuestra gente...VENDE PATRIA!"", ""For all you so called Puerto Ricans calling yourselves Puerto Ricans slap yourself with your grandmother's CHANCLA!! Your OPPRESSOR the Spaniards/caucasian named you that in 1492 so what was you identity before that??? Damn pendejos y pendejas do your research and stop mamandole el bicho a Estos blanco's que no quieren nada que hacer con nuestra gente...VENDE PATRIA!"", ""For all you so called Puerto Ricans calling yourselves Puerto Ricans slap yourself with your grandmother's CHANCLA!! Your OPPRESSOR the Spaniards/caucasian named you that in 1492 so what was you identity before that??? Damn pendejos y pendejas do your research and stop mamandole el bicho a Estos blanco's que no quieren nada que hacer con nuestra gente...VENDE PATRIA!""]"
50,24,50_india_shit_delhites_germsy,"['india', 'shit', 'delhites', 'germsy', 'nope', 'delhi', 'lawless', 'hole', 'happens', 'blame']","['Nope, this only happens in Delhi. All delhites are pieces of shit and scum of the India.', 'India is the filthiest country on planet Earth. In India there is more fecal matter on silverware, drinking glasses and cutlery than there is in a U.S. toilet. Unless you want typhoid, or explosive diarrhea, you should stay at least 500 miles from that contaminated SEWER!', 'India is the filthiest country on planet Earth. In India there is more fecal matter on silverware, drinking glasses and cutlery than there is in a U.S. toilet. Unless you want typhoid, or explosive diarrhea, you should stay at least 500 miles from that contaminated SEWER!']"
51,23,51_muslims_sacrificing_facking_conquered,"['muslims', 'sacrificing', 'facking', 'conquered', 'wins', 'julessunbeam', 'loses', 'belly', 'beaten', 'bbcnews']","['@JulesSunbeam @OnARoll_Winning @BBCNews BBC that is vile and disgusting. How the fuck dare you! You yellow belly ignorant people. You country deserves to be conquered by Muslims. We should have let you be beaten by the Germans instead of sacrificing our young American men for you ungrateful and stupid people.', '@JulesSunbeam @OnARoll_Winning @BBCNews BBC that is vile and disgusting. How the fuck dare you! You yellow belly ignorant people. You country deserves to be conquered by Muslims. We should have let you be beaten by the Germans instead of sacrificing our young American men for you ungrateful and stupid people.', '@JulesSunbeam @OnARoll_Winning @BBCNews BBC that is vile and disgusting. How the fuck dare you! You yellow belly ignorant people. You country deserves to be conquered by Muslims. We should have let you be beaten by the Germans instead of sacrificing our young American men for you ungrateful and stupid people.']"
52,23,52_israel_url_fuck_israelpolice,"['israel', 'url', 'fuck', 'israelpolice', 'operationdemolition', 'rtcom', 'tear', 'repcohen', 'enroll', 'crane']","['fuck you and fuck israel URL', 'How about we go over there and tear down homes owned by the FUCKERS in Israel, I will enroll in crane operation/demolition classes so I can do it personally. Two words. FUCK ISRAEL URL', 'How about we go over there and tear down homes owned by the FUCKERS in Israel, I will enroll in crane operation/demolition classes so I can do it personally. Two words. FUCK ISRAEL URL']"
53,23,53_iran_tehran_planet_soldiers,"['iran', 'tehran', 'planet', 'soldiers', 'exactly', 'great', 'bomb', 'should', 'face', 'bombing']","['The WORLD know America ""Should"" have made Tehran Glow in the Dark, back in 1979 .. WE missed a great opportunity to do a great thing for the Planet. They are the most Terrorist Supporting State on the Planet and eventually we will have no choice but to make Martyrs of them all.', ""If the US came to your neighbourhood, bombs the house of your neughbour to ovlivion, sending soldiers into the appartment building across the street, and denied everyone acces into the library or some shit, you would also chant Death to America, wouldn't you? I know I would. That's exactly what Iranians have experienced, only in a much langer scale. No wonder they hate you guys."", ""If the US came to your neighbourhood, bombs the house of your neughbour to ovlivion, sending soldiers into the appartment building across the street, and denied everyone acces into the library or some shit, you would also chant Death to America, wouldn't you? I know I would. That's exactly what Iranians have experienced, only in a much langer scale. No wonder they hate you guys.""]"
54,21,54_iran_ash_death_ha,"['iran', 'ash', 'death', 'ha', 'heaps', 'irg', 'civilizations', 'militia', 'toy', 'soldiers']","['Toy soldiers from their militia and their IRG will burn to ash. Iran will go to the ash heaps of civilizations.', 'Toy soldiers from their militia and their IRG will burn to ash. Iran will go to the ash heaps of civilizations.', 'Toy soldiers from their militia and their IRG will burn to ash. Iran will go to the ash heaps of civilizations.']"
55,21,55_everywhere_retards_americans_cross,"['everywhere', 'retards', 'americans', 'cross', 'fucken', 'certain', 'places', 'mattmua72', 'dumbest', 'still']","[""How fucken stupid are Americans. Everywhere else in the world people have to only cross at certain times and places but in America no, Americans think they're better than everyone still."", ""How fucken stupid are Americans. Everywhere else in the world people have to only cross at certain times and places but in America no, Americans think they're better than everyone still."", ""How fucken stupid are Americans. Everywhere else in the world people have to only cross at certain times and places but in America no, Americans think they're better than everyone still.""]"
56,20,56_china_cambodia_sihanoukville_chinx,"['china', 'cambodia', 'sihanoukville', 'chinx', 'shits', 'clean', 'motherfuckers', 'crackers', 'basketball', 'ming']","['China destroyed Sihanoukville in Cambodia. Clean your shits in Cambodia you chinx motherfuckers', 'China destroyed Sihanoukville in Cambodia. Clean your shits in Cambodia you chinx motherfuckers', 'China destroyed Sihanoukville in Cambodia. Clean your shits in Cambodia you chinx motherfuckers']"
57,20,57_eradicated_such_countries_belong,"['eradicated', 'such', 'countries', 'belong', 'sobs', 'sterilization', 'sandboxes', '21st', 'trashy', 'country']","['Countries like this should be eradicated', 'Such a trashy country. They need immediate population control. A plague would also do them pretty good.', 'Such a trashy country. They need immediate population control. A plague would also do them pretty good.']"
58,20,58_kike_fatass_niggerloving_dick,"['kike', 'fatass', 'niggerloving', 'dick', 'sucking', 'stop', 'niggas', 'jews', 'faggots', 'kikes']","[""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE"", ""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE"", ""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE""]"
59,20,59_language_useless_learn_immigrant,"['language', 'useless', 'learn', 'immigrant', 'native', 'speak', 'fucking', 'englishspeaking', 'finding', 'imigrant']","['Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.']"
60,20,60_fuk_poland_fuking_love,"['fuk', 'poland', 'fuking', 'love', 'been', 'absolutely', 'shit', 'works', 'has', 'wars']","['Hahah bet the fuking jews and americans will b pissed, as now the world knows they full of shit they love starting wars but end up losing them As they pussy out cant finsh it, russia we love china we love nxt great power turkey fuk europe fuk isreal', 'Hahah bet the fuking jews and americans will b pissed, as now the world knows they full of shit they love starting wars but end up losing them As they pussy out cant finsh it, russia we love china we love nxt great power turkey fuk europe fuk isreal', 'Hahah bet the fuking jews and americans will b pissed, as now the world knows they full of shit they love starting wars but end up losing them As they pussy out cant finsh it, russia we love china we love nxt great power turkey fuk europe fuk isreal']"
61,19,61_third_3rd_goat_shithole,"['third', '3rd', 'goat', 'shithole', 'you', 'world', 'mutts', 'mongrels', 'surpassed', 'goddamn']","[""Please. You 3rd world mongrels would be destroyed in a week if we decided you needed to go. Don't you realize you come from a failed race and we surpassed you in less than 150 years? Tiny Britain enslaved you pieces of shit. You think you have a chance against the USA?  You mutts are so fucking stupid. No wonder you're country is such a shithole disgrace."", ""Please. You 3rd world mongrels would be destroyed in a week if we decided you needed to go. Don't you realize you come from a failed race and we surpassed you in less than 150 years? Tiny Britain enslaved you pieces of shit. You think you have a chance against the USA?  You mutts are so fucking stupid. No wonder you're country is such a shithole disgrace."", ""Please. You 3rd world mongrels would be destroyed in a week if we decided you needed to go. Don't you realize you come from a failed race and we surpassed you in less than 150 years? Tiny Britain enslaved you pieces of shit. You think you have a chance against the USA?  You mutts are so fucking stupid. No wonder you're country is such a shithole disgrace.""]"
62,19,62_palestine_palestinians_crimes_decimate,"['palestine', 'palestinians', 'crimes', 'decimate', 'warcrimes', 'repertoire', 'eachother', 'frankly', 'israel', 'troll']","[""I came here to troll but to be completely honest with you Israel and Palestine are both trash states with a huge repertoire of warcrimes and crimes against humanity and it's frankly disgusting what they do to eachother over there"", ""I came here to troll but to be completely honest with you Israel and Palestine are both trash states with a huge repertoire of warcrimes and crimes against humanity and it's frankly disgusting what they do to eachother over there"", ""I came here to troll but to be completely honest with you Israel and Palestine are both trash states with a huge repertoire of warcrimes and crimes against humanity and it's frankly disgusting what they do to eachother over there""]"
63,18,63_mexico_talk_california_florida,"['mexico', 'talk', 'california', 'florida', 'then', 'earliest', 'comprende', 'there', 'arrested', 'answer']","['FUCK YOU MEXICO TALK IS CHEAP AND WITH YOU WE NO COMPRENDE  STOP THE ILLEGALS AND SEND THEM HOME THEN CALL US TO TALK.   IF WE DONT ANSWER THEN LEAVE A MESSAGE AND WE WILL GET BACK TO YOU AT OUR EARLIEST CHANCE.', 'FUCK YOU MEXICO TALK IS CHEAP AND WITH YOU WE NO COMPRENDE  STOP THE ILLEGALS AND SEND THEM HOME THEN CALL US TO TALK.   IF WE DONT ANSWER THEN LEAVE A MESSAGE AND WE WILL GET BACK TO YOU AT OUR EARLIEST CHANCE.', 'FUCK YOU MEXICO TALK IS CHEAP AND WITH YOU WE NO COMPRENDE  STOP THE ILLEGALS AND SEND THEM HOME THEN CALL US TO TALK.   IF WE DONT ANSWER THEN LEAVE A MESSAGE AND WE WILL GET BACK TO YOU AT OUR EARLIEST CHANCE.']"
64,18,64_islam_step_infidel_religion,"['islam', 'step', 'infidel', 'religion', 'also', 'fastest', 'fully', 'version', 'surpassing', 'hypocritical']","['FACT! There are over 1.7 billion members of the ""religion of peace."" 10% self identified as radical or 170,000,000. Generations have been taught the infidel, you, is evil. In order to bring about their version of paradise, you must be eradicated. Get it? URL', ""I'm a muslim, and I say that all christians are hypocritical idiots and need to just go die. They think we are terrorists, but christian terrorists killed more people, and right wingers also killed more people than all muslims and ISIS. Europe will fully convert to islam in 5 years and we will win. Then america will also become islamic, because that is true way.  Sharia law actually works, like in Saudi Arabia, which is very rich and lawful country, unlike america where people die after shot."", ""I'm a muslim, and I say that all christians are hypocritical idiots and need to just go die. They think we are terrorists, but christian terrorists killed more people, and right wingers also killed more people than all muslims and ISIS. Europe will fully convert to islam in 5 years and we will win. Then america will also become islamic, because that is true way.  Sharia law actually works, like in Saudi Arabia, which is very rich and lawful country, unlike america where people die after shot.""]"
65,18,65_china_dome_breathe_helicopter,"['china', 'dome', 'breathe', 'helicopter', 'over', 'dismantled', 'free', 'bombed', 'havent', 'extermimated']","['Put a dome over China and let them breathe their own shit!', 'Put a dome over China and let them breathe their own shit!', 'Put a dome over China and let them breathe their own shit!']"
66,18,66_russian_balloon_rather_virgin,"['russian', 'balloon', 'rather', 'virgin', 'play', 'youre', 'father', 'than', 'mother', 'tent']","[""Unlike most fat ass Russians, I do this thing called working out. Rather than die form early alcoholism, and rather than have retarded babies, Americans actually play sports and go tot he gym. That is why Russian women don't fuck Russian men, and why your mother cheated on your father, and why you are a virgin."", ""Unlike most fat ass Russians, I do this thing called working out. Rather than die form early alcoholism, and rather than have retarded babies, Americans actually play sports and go tot he gym. That is why Russian women don't fuck Russian men, and why your mother cheated on your father, and why you are a virgin."", ""Unlike most fat ass Russians, I do this thing called working out. Rather than die form early alcoholism, and rather than have retarded babies, Americans actually play sports and go tot he gym. That is why Russian women don't fuck Russian men, and why your mother cheated on your father, and why you are a virgin.""]"
67,17,67_japan_extremist_view_end,"['japan', 'extremist', 'view', 'end', 'deal', 'with', 'japans', 'nuclearize', 'cost', 'sk']","[""That's a pretty extremist view. I'll return with an extremist view. South Korea should make a deal with Trump and receive lesser American military support to lower the cost for US. In turn, they should get the right to nuclearize the country. Then SK can finish what US failed to do. Erase Japan from the map through nuclear bombs. It's already a radioactive cesspool. Should end Japan's pitiful downfall and end its misery."", ""That's a pretty extremist view. I'll return with an extremist view. South Korea should make a deal with Trump and receive lesser American military support to lower the cost for US. In turn, they should get the right to nuclearize the country. Then SK can finish what US failed to do. Erase Japan from the map through nuclear bombs. It's already a radioactive cesspool. Should end Japan's pitiful downfall and end its misery."", ""That's a pretty extremist view. I'll return with an extremist view. South Korea should make a deal with Trump and receive lesser American military support to lower the cost for US. In turn, they should get the right to nuclearize the country. Then SK can finish what US failed to do. Erase Japan from the map through nuclear bombs. It's already a radioactive cesspool. Should end Japan's pitiful downfall and end its misery.""]"
68,17,68_american_more_shootings_class,"['american', 'more', 'shootings', 'class', 'killers', 'working', 'reminds', 'lai', 'lionize', 'muthafuckas']","['@KyleKulinski We need more school shootings. We need American soldiers to be decapitated. The Working class Americans must also suffer alongside the rich elite american as the working class american are greedy racist white & mix race devils. We need to start off by bombing American Embassies.', '@KyleKulinski We need more school shootings. We need American soldiers to be decapitated. The Working class Americans must also suffer alongside the rich elite american as the working class american are greedy racist white & mix race devils. We need to start off by bombing American Embassies.', '@KyleKulinski We need more school shootings. We need American soldiers to be decapitated. The Working class Americans must also suffer alongside the rich elite american as the working class american are greedy racist white & mix race devils. We need to start off by bombing American Embassies.']"
69,16,69_arabs_iranians_persian_enough,"['arabs', 'iranians', 'persian', 'enough', 'omak', 'koss', 'ga7ba', 'iraqi', 'nose', 'el']","[""YOURE NOT IRAQI YOU DISGUSTING PERSIAN. Fuck you and your terrorist country bitch. Don't put ur nose in what WE do. You Iranians done enough stupid terrorists!! I become sorry for U! Koss omak el GA7BA dirty Persian"", ""YOURE NOT IRAQI YOU DISGUSTING PERSIAN. Fuck you and your terrorist country bitch. Don't put ur nose in what WE do. You Iranians done enough stupid terrorists!! I become sorry for U! Koss omak el GA7BA dirty Persian"", ""YOURE NOT IRAQI YOU DISGUSTING PERSIAN. Fuck you and your terrorist country bitch. Don't put ur nose in what WE do. You Iranians done enough stupid terrorists!! I become sorry for U! Koss omak el GA7BA dirty Persian""]"
70,16,70_youths_nigerians_theyll_nigeria,"['youths', 'nigerians', 'theyll', 'nigeria', 'cowardsbiafran', 'suspension', 'fulani', 'ruga', 'him', 'url']","[""Nigerian men don't give a shit about women. Lol. They'll laugh with your abuser online, drink and party with him, and even when he's being arraigned for physically assaulting an innocent woman, they'll line up to take selfies with him. URL"", ""Nigerian men don't give a shit about women. Lol. They'll laugh with your abuser online, drink and party with him, and even when he's being arraigned for physically assaulting an innocent woman, they'll line up to take selfies with him. URL"", ""Nigerian men don't give a shit about women. Lol. They'll laugh with your abuser online, drink and party with him, and even when he's being arraigned for physically assaulting an innocent woman, they'll line up to take selfies with him. URL""]"
71,16,71_burns_fan_heats_muricans,"['burns', 'fan', 'heats', 'muricans', 'mommies', 'thier', 'crying', 'something', 'estonians', 'ugh']","['All muricans i know are full of shit until shit heats the fan and then they are crying for thier mommies.', 'All muricans i know are full of shit until shit heats the fan and then they are crying for thier mommies.', 'All muricans i know are full of shit until shit heats the fan and then they are crying for thier mommies.']"
72,16,72_her_lightly_failure_globalist,"['her', 'lightly', 'failure', 'globalist', 'paedophile', 'heart', 'protecting', 'term', 'cunt', 'devil']","['Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!', 'Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!', 'Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!']"
73,16,73_fuckin_dumb_motherfuckers_cunts,"['fuckin', 'dumb', 'motherfuckers', 'cunts', 'parents', 'american', 'saying', 'like', 'you', 'assesurliqqt34']","[""I just said it doesn't happen and now you are saying that I DO IT? You are a fuckin nazi haha. What a fuckin idiot, imagine that you have a MOTHER who raised you to be like this? To attack Americans on an American website. You MUST be fuckin retarded if that is your response."", ""I don't like usa too. They like to think black people are their slaves. I hate all the people who thinks their skin is rich.  I'm not dumb. What did you do when you were 13 other than sucking your daddy's nipple thinking that it's mommy's? Nothing. You're a gamer. Gamers are probably jobless uneducated guys they couldn't even take care of themselves, they depend on their parents even for water. youre full of your parents shit. You're very lucky you're far away from me. Otherwise I would have kicked your useless balls and killed you by now for abusing me."", ""I don't like usa too. They like to think black people are their slaves. I hate all the people who thinks their skin is rich.  I'm not dumb. What did you do when you were 13 other than sucking your daddy's nipple thinking that it's mommy's? Nothing. You're a gamer. Gamers are probably jobless uneducated guys they couldn't even take care of themselves, they depend on their parents even for water. youre full of your parents shit. You're very lucky you're far away from me. Otherwise I would have kicked your useless balls and killed you by now for abusing me.""]"
74,16,74_fuckn_rbpt_gun_guns,"['fuckn', 'rbpt', 'gun', 'guns', 'your', 'its', 'dickbag', 'allright', 'shootings', 'downvotes']","['Downvotes, you lot deserve fuckn trump and your guns hopefully youll all shoot each other and the rest of the world can forget your fuckn country even existed.', 'Downvotes, you lot deserve fuckn trump and your guns hopefully youll all shoot each other and the rest of the world can forget your fuckn country even existed.', 'Downvotes, you lot deserve fuckn trump and your guns hopefully youll all shoot each other and the rest of the world can forget your fuckn country even existed.']"
75,16,75_iran_sanctions_negotiation_broke,"['iran', 'sanctions', 'negotiation', 'broke', 'paid', '70s', 'price', 'themthey', 'wrong', 'place']","[""They broke sanctions and paid the price. We didn't do anything wrong. Now we have to bomb Iran to put them back in their place."", ""They broke sanctions and paid the price. We didn't do anything wrong. Now we have to bomb Iran to put them back in their place."", ""They broke sanctions and paid the price. We didn't do anything wrong. Now we have to bomb Iran to put them back in their place.""]"
76,15,76_ebloa_legionary1488_jomavaesjos_texas,"['ebloa', 'legionary1488', 'jomavaesjos', 'texas', 'case', 'safe', 'might', 'now', 'we', 'niggers']","['@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.', '@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.', '@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.']"
77,15,77_mentally_american_realize_fucked,"['mentally', 'american', 'realize', 'fucked', 'pig', 'ill', 'enabler', 'endlesscountless', 'aggression', 'suddenlywestan']","['@suddenlywestan Because you are a country of mentally ill terrorists. Whoever says different is an enabler, ignorant and blind to endless/countless wars and aggression and the death rate by American terrorist acts. Fuck you American scum!', '@suddenlywestan Because you are a country of mentally ill terrorists. Whoever says different is an enabler, ignorant and blind to endless/countless wars and aggression and the death rate by American terrorist acts. Fuck you American scum!', '@suddenlywestan Because you are a country of mentally ill terrorists. Whoever says different is an enabler, ignorant and blind to endless/countless wars and aggression and the death rate by American terrorist acts. Fuck you American scum!']"
78,15,78_flag_number_child_baby,"['flag', 'number', 'child', 'baby', 'explains', 'liberian', 'rodrigues', 'difference', 'full', 'between']","[""Baby Rodrigues Your country is full of retards which probably explains why you don't know the difference between the Liberian flag and American flag."", ""Awesome you're number one at running child pedophile rings for decades. You have the highest demand of drugs and illegal sex trade. You have the majority of your adult population as obese. You jail kids and torture them. You have mass shootings at schools monthly and do shit all about it. The only people who've declared you muppets number one is yourselves because NOBODY would even consider any of those faults as a sign of a winner. A country full of fat fucking dumb child abusing losers. That's a more appropriate title. Enjoy being number one at child abuse. What a fucking joke yanks are."", ""Awesome you're number one at running child pedophile rings for decades. You have the highest demand of drugs and illegal sex trade. You have the majority of your adult population as obese. You jail kids and torture them. You have mass shootings at schools monthly and do shit all about it. The only people who've declared you muppets number one is yourselves because NOBODY would even consider any of those faults as a sign of a winner. A country full of fat fucking dumb child abusing losers. That's a more appropriate title. Enjoy being number one at child abuse. What a fucking joke yanks are.""]"
79,15,79_iran_soon_painfully_yep,"['iran', 'soon', 'painfully', 'yep', 'flames', 'flies', 'slowly', 'burns', 'with', 'puppy']","['Time to bomb Iran and show all those smelly Iranian children with burns and flies on them. Death to Iran and anyone supporting them,. May you all die very slowly and painfully.', 'Time to bomb Iran and show all those smelly Iranian children with burns and flies on them. Death to Iran and anyone supporting them,. May you all die very slowly and painfully.', 'Time to bomb Iran and show all those smelly Iranian children with burns and flies on them. Death to Iran and anyone supporting them,. May you all die very slowly and painfully.']"
80,15,80_bangladeshi_hindus_cousins_track,"['bangladeshi', 'hindus', 'cousins', 'track', 'kaffirs', 'situation', 'porki', 'paradise', 'yours', 'own']","['Lmao, I think our situation is much better than yours, where your people fuck your own baby girl cousins, kill any ""kaffirs"" on the street, and blow up both your own people and those in the rest of the world! With such a barbaric track record, your will surely get your 72 virgins in paradise!', 'Lmao, I think our situation is much better than yours, where your people fuck your own baby girl cousins, kill any ""kaffirs"" on the street, and blow up both your own people and those in the rest of the world! With such a barbaric track record, your will surely get your 72 virgins in paradise!', 'Lmao, I think our situation is much better than yours, where your people fuck your own baby girl cousins, kill any ""kaffirs"" on the street, and blow up both your own people and those in the rest of the world! With such a barbaric track record, your will surely get your 72 virgins in paradise!']"
81,15,81_ilhan_somalia_dam_save,"['ilhan', 'somalia', 'dam', 'save', 'america', 'little', 'minneapolis', 'slams', 'st', 'students']","[""Yeah that's not surprising. Thanks Obama. Minneapolis St Paul is little Mogadishu! Somalian gangs have caused a LOT of trouble in that amazing city. Now it's one of the most liberal cities in the USA. Fraud is evrywhere, and Minnesotans have to pay ALL of the bill. 👇🏻 RT URL"", ""@IlhanMN, since all you know how to do is spew the proverbial diarrhea by your hate for America, do America a favor and crawl back to Somalia and live in your little cage like a rabid rat. Ilhan Omar Slams America to 400 High School Students as 'Unjust' URL"", ""@IlhanMN, since all you know how to do is spew the proverbial diarrhea by your hate for America, do America a favor and crawl back to Somalia and live in your little cage like a rabid rat. Ilhan Omar Slams America to 400 High School Students as 'Unjust' URL""]"
82,14,82_iran_annihilate_terrorism_destroy,"['iran', 'annihilate', 'terrorism', 'destroy', 'eliminate', 'would', 'wise', 'assahola', 'murder', 'world']","['We, the World, need to annihilate Iran... This would eliminate all terrorism in the world!', 'We, the World, need to annihilate Iran... This would eliminate all terrorism in the world!', 'We, the World, need to annihilate Iran... This would eliminate all terrorism in the world!']"
83,14,83_british_faggot_fuj_bastardsfuk,"['british', 'faggot', 'fuj', 'bastardsfuk', 'swedish', 'filamental2', 'frostytea', 'fuk', 'faced', 'faggit']","['FUK THESE 2 FACED BRITISH BASTARDS...FUK THE FAGGOT UK. FUJ YOU BASTARDS.', 'FUK THESE 2 FACED BRITISH BASTARDS...FUK THE FAGGOT UK. FUJ YOU BASTARDS.', 'FUK THESE 2 FACED BRITISH BASTARDS...FUK THE FAGGOT UK. FUJ YOU BASTARDS.']"
84,14,84_india_bastereds_bloody_zindabad,"['india', 'bastereds', 'bloody', 'zindabad', 'beasts', 'hairy', 'hell', 'realize', 'shame', 'smelly']","['Bloody india will go to hell all these bastereds', 'Bloody india will go to hell all these bastereds', 'Bloody india will go to hell all these bastereds']"
